请问您的性别是？,您所在的城市属于哪个省（直辖市/自治区/特区）？,请问您的出生年代是？,请问您的学历是？,请问您是否有海外留学经历？（以学习为目的，在国外停留超过1个月）,请问未来1-3年内，您是否有留学或继续深造计划？（多选）,您是否考虑线上教学的方式继续深造？,请问您属于以下哪种身份？,请问您所从事的行业是？,请问您在单位的岗位职能是？,关于汽车，请问以下哪个描述符合您的情况？,请问您拥有什么类型的汽车？,请问您购买的车型品牌是？,请问您购买汽车的价格是在什么范围？（如果拥有多辆车，请以价格最高的一辆车为准）,请问您未来1年内是否有购置汽车的计划？,请问您对新能源纯电动汽车的尝试意愿如何？,请问您更愿意尝试以下哪个品牌的新能源纯电动汽车？,请问您和您家人每年旅行消费支出是（排除疫情年度影响）？,请问您常规每年开展几次出境游（排除疫情年度影响，个人+商务旅行）,请问在订购机票时，您一般选择什么舱位？,请问您在选择酒店时，通常预定什么等级的酒店？（最多选择两项）,请问您在选择酒店时，通常每个房间每晚消费多少？,请问您购买过哪些品类的奢侈品？（多选）,请问您购买奢侈品的主要用途是？（多选）,请问您拥有几块机械腕表类的奢侈品?,请问您拥有几件珠宝类的奢侈品?,请问您拥有几件包/鞋/服饰类的奢侈品？,请问您购买奢侈品时的考虑因素有哪些？（多选）,请问您对以下哪些品牌的腕表感兴趣？（多选）,请问您拥有何种品牌的机械腕表？（如有多块儿腕表，请多选）,请问您购买这块机械腕表的花费是多少？（若您有多块机械腕表，则填写最贵的那块机械腕表价格）,请问您未来是否会考虑购买机械腕表，计划在多长时间内购买机械腕表？,请问您计划花多少钱来购买机械腕表？,请问您用过哪些彩妆及肤护品？或者您购买过哪些送人？（多选）,请问您或您的家庭在未来1年内计划购买以下哪些电子产品？（多选）,请问您新购/更换手机的频率是？,请问您在购买手机时，主要考虑因素有哪些？（多选）,请问您的婚姻状况是？,请问您目前的家庭情况是？,请问您的子女处在哪个人生阶段？(如您有2个及以上孩子请多选),请问您是否有宠物？,请问您每个月在宠物身上的平均花费是多少？,请问您过去一年的个人平均月收入范围是？（包括固定工资，奖金，福利，金融产品收益，资产收益等所有收入的总和）,请问过去一年您的家庭平均税前月收入范围是？（如未婚则仅包含个人；包括固定工资，奖金，福利，金融产品收益，资产收益等所有收入的总和）,请问过去一年您消费占比最高的三项是？,在闲暇时，您主要的消遣方式有哪些？（多选）,请问您平均每月网购次数？,请问您平均每月网购总金额范围？,请问您在消费时更看重以下哪点？,请问您经常使用的网购平台是？（多选）,请问您在消费时，是否容易受到他人影响？,设备,作答时长
男,贵州,85后（85-89年出生）,大学本科,否,"[""none""]",是,政府机关/公务员/事业单位,,,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""其他日韩品牌""]",20万元以下,,比较愿意尝试,吉利,"30,001-50,000元",很少,经济舱,"[""三星级/舒适型""]",800元以下/晚,"[""none""]",,,,,,"[""劳力士ROLEX""]",,,不打算购买,,"[""none""]","[""学习设备""]",平均1年以内购买1部手机,"[""功能""]",已婚,有一个孩子,"[""幼儿园前（1-3周岁）""]",无,,,"20,001-50,000元","[""兴趣消费"",""学习消费"",""智能产品消费、电子产品消费""]","[""读书"",""玩游戏"",""朋友聚会、咖啡吧、酒吧、live house等""]",1-5次,"3,000～5,000元",实用性强,"[""淘宝/天猫"",""京东""]",否,android,441
男,山东,00后（2000年以后出生）,高中及以下,否,"[""none""]",否,学生,,,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""none""]",20万元以下,,比较愿意尝试,比亚迪,"10,000元及以下",1-2次,经济舱,"[""民宿/公寓""]",800元以下/晚,"[""机械腕表""]","[""自用""]",1块,,,"[""实用""]","[""天梭TISSOT""]","[""浪琴LONGINES""]",1万元以下,3年以上,1万元以下,"[""none""]","[""手机"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均1-2年购买1部手机,"[""性能/配置"",""质量/耐用"",""价格""]",未婚,,,狗,"1,000元以下",,,"[""学习消费"",""旅游消费"",""智能产品消费、电子产品消费""]","[""健身、各类运动"",""郊游/周边游"",""玩游戏"",""读书"",""电影、连续剧""]",1-5次,"3,000元以下",性价比高,"[""拼多多"",""苏宁易购""]",是,android,292
男,河南,00后（2000年以后出生）,大学专科,否,"[""在国内接受职业技能培训或考取职业资格证""]",是,学生,,,没有汽车,,,,暂时无购车计划,比较愿意尝试,北汽新能源,"10,000元及以下",很少,经济舱,"[""经济型/快捷型连锁""]",不确定,"[""鞋""]","[""自用""]",,,2件,"[""质量"",""实用""]","[""劳力士ROLEX"",""伯爵PIAGET"",""卡地亚CARTIER"",""百达翡丽PATEK PHILIPPE""]","[""百达翡丽PATEK PHILIPPE"",""卡地亚CARTIER""]",,不确定,,"[""兰蔻Lancome"",""欧莱雅""]","[""电脑整机（笔记本、一体机、平板电脑等）""]",平均1-2年购买1部手机,"[""性能/配置""]",未婚,,,无,,,,"[""智能产品消费、电子产品消费"",""服饰消费"",""日用品消费""]","[""玩游戏""]",10次以上,"3,000元以下",性价比高,"[""淘宝/天猫""]",是,android,318
男,上海,90后（90-94年出生）,大学本科,否,"[""none""]",是,企业职员,电商/零售/贸易,销售,没有汽车,,,,暂时无购车计划,非常愿意尝试,蔚来,"10,000元及以下",1-2次,经济舱,"[""三星级/舒适型"",""经济型/快捷型连锁""]",800元以下/晚,"[""机械腕表"",""服饰""]","[""自用""]",1块,,2件,"[""品牌"",""折扣/优惠"",""款式/颜色"",""质量""]","[""宝格丽BVLGARI"",""欧米茄OMEGA"",""万国IWC"",""浪琴LONGINES""]","[""天梭TISSOT""]",1万元以下,不打算购买,,"[""雅诗兰黛Estee Lauder"",""兰蔻Lancome"",""迪奥Dior"",""资生堂"",""SK-II"",""香奈儿CHANEL"",""欧莱雅""]","[""手机"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""价格""]",未婚,,,无,,"10,001-30,000元",,"[""日用品消费"",""餐饮消费"",""服饰消费""]","[""健身、各类运动"",""逛商场、购物"",""朋友聚会、咖啡吧、酒吧、live house等""]",1-5次,"3,000元以下",质量品质,"[""淘宝/天猫"",""亚马逊""]",否,android,369
女,北京,00后（2000年以后出生）,大学本科,否,"[""到欧美地区申请研究生"",""在国内接受职业技能培训或考取职业资格证""]",是,学生,,,有1辆汽车,"[""SUV（比如途观、奔驰GLK等）""]","[""奔驰""]",50-100万元,,比较愿意尝试,特斯拉,"10,001-30,000元",1-2次,经济舱,"[""四星级/高档型""]","801-1,500元/晚","[""鞋"",""机械腕表"",""珠宝""]","[""自用""]",2块,3-4件,1件,"[""款式/颜色"",""质量""]","[""宝格丽BVLGARI""]","[""欧米茄OMEGA""]",3万-5万元,不打算购买,,"[""资生堂"",""海蓝之谜La Mer"",""纪梵希Givenchy"",""娇兰"",""兰蔻Lancome"",""娇韵诗"",""迪奥Dior"",""雅诗兰黛Estee Lauder"",""圣罗兰YSL"",""植村秀"",""欧莱雅"",""香奈儿CHANEL""]","[""手机"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型""]",未婚,,,猫,"1,000-3,000元",,,"[""娱乐消费"",""餐饮消费"",""旅游消费""]","[""看展、逛市集"",""逛商场、购物"",""电影、连续剧"",""郊游/周边游""]",6-10次,"3,000元以下",外观颜值,"[""小红书"",""京东"",""拼多多"",""淘宝/天猫""]",否,android,321
女,广东,70后（70-79年出生）,大学专科,否,"[""none""]",是,企业职员,银行/证券/保险/投资机构及互联网金融,市场/营销,没有汽车,,,,暂时无购车计划,非常愿意尝试,特斯拉,"10,000元及以下",很少,经济舱,"[""经济型/快捷型连锁""]",800元以下/晚,"[""包""]","[""自用""]",,,3-4件,"[""实用""]","[""伯爵PIAGET"",""宝玑BREGUET""]","[""卡地亚CARTIER"",""浪琴LONGINES"",""欧米茄OMEGA""]",,不打算购买,,"[""欧莱雅"",""香奈儿CHANEL"",""兰蔻Lancome"",""迪奥Dior"",""纪梵希Givenchy""]","[""电脑整机（笔记本、一体机、平板电脑等）""]",平均3年以上购买1部手机,"[""品牌"",""性能/配置"",""功能""]",不方便透露,,,无,,none,,"[""日用品消费"",""娱乐消费"",""旅游消费""]","[""电影、连续剧"",""健身、各类运动"",""朋友聚会、咖啡吧、酒吧、live house等"",""读书""]",10次以上,"3,000～5,000元",实用性强,"[""淘宝/天猫"",""拼多多"",""京东""]",是,android,324
男,湖北,90后（90-94年出生）,大学专科,否,"[""在国内接受职业技能培训或考取职业资格证""]",是,企业职员,房地产/建筑业,设计,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""其他国产品牌""]",20万元以下,,不愿意尝试,,"10,000元及以下",很少,经济舱,"[""民宿/公寓"",""经济型/快捷型连锁""]",800元以下/晚,"[""none""]",,,,,,"[""浪琴LONGINES""]",,,不打算购买,,"[""none""]","[""手机"",""摄影摄像（数码相机、单反相机、摄像机等）"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均1-2年购买1部手机,"[""性能/配置"",""外观/造型"",""价格"",""售后服务""]",不方便透露,,,无,,none,,"[""餐饮消费"",""服饰消费"",""日用品消费""]","[""读书""]",6-10次,"3,000元以下",性价比高,"[""淘宝/天猫"",""苏宁易购"",""京东""]",否,android,355
女,上海,85后（85-89年出生）,高中及以下,否,"[""在国内接受职业技能培训或考取职业资格证"",""在国内申请研究生""]",是,自由职业者,律所,,没有汽车,,,,暂时无购车计划,不愿意尝试,,"10,001-30,000元",1-2次,经济舱,"[""五星级/豪华型"",""民宿/公寓""]",不确定,"[""none""]",,,,,,"[""other"",""曾经从业，都不感兴趣""]",,,不打算购买,,"[""汤姆福特TOM FORD"",""迪奥Dior"",""植村秀"",""娇韵诗"",""娇兰"",""欧莱雅"",""海蓝之谜La Mer"",""Bobbi Brown"",""赫莲娜HR"",""圣罗兰YSL"",""莱珀妮La Prairie"",""香奈儿CHANEL"",""乔治阿玛尼Giorgio Armani"",""雅诗兰黛Estee Lauder"",""兰蔻Lancome"",""SK-II"",""纪梵希Givenchy"",""肌肤之钥CPB"",""资生堂"",""Sisley""]","[""学习设备""]",平均3年以上购买1部手机,"[""性能/配置"",""操作系统"",""质量/耐用"",""价格"",""功能"",""外观/造型"",""口碑""]",已婚,无子女,,无,,none,none,"[""餐饮消费"",""日用品消费"",""其他""]","[""读书"",""郊游/周边游"",""朋友聚会、咖啡吧、酒吧、live house等"",""玩游戏""]",基本不网购,"3,000元以下",性价比高,"[""淘宝/天猫"",""京东""]",否,android,1127
女,河南,00后（2000年以后出生）,大学本科,否,"[""在国内申请研究生""]",否,学生,,,没有汽车,,,,暂时无购车计划,比较愿意尝试,比亚迪,"10,000元及以下",很少,经济舱,"[""三星级/舒适型""]",800元以下/晚,"[""none""]",,,,,,"[""劳力士ROLEX""]",,,不打算购买,,"[""欧莱雅""]","[""电脑整机（笔记本、一体机、平板电脑等）""]",平均2-3年购买1部手机,"[""质量/耐用"",""口碑"",""价格"",""性能/配置""]",未婚,,,无,,,,"[""餐饮消费"",""娱乐消费"",""服饰消费""]","[""玩游戏"",""电影、连续剧""]",1-5次,"3,000元以下",质量品质,"[""淘宝/天猫""]",是,android,316
女,湖北,00后（2000年以后出生）,大学本科,否,"[""在国内申请研究生"",""在国内接受职业技能培训或考取职业资格证""]",是,学生,,,没有汽车,,,,暂时无购车计划,不愿意尝试,,"10,000元及以下",很少,经济舱,"[""民宿/公寓""]",800元以下/晚,"[""机械腕表"",""鞋"",""服饰""]","[""自用""]",1块,,1件,"[""质量"",""实用"",""款式/颜色"",""保值/收藏价值"",""折扣/优惠""]","[""宝格丽BVLGARI"",""万宝龙MONTBLANC"",""香奈儿CHANEL""]","[""百达翡丽PATEK PHILIPPE"",""香奈儿CHANEL"",""江诗丹顿VACHERON CONSTANTIN"",""宝格丽BVLGARI""]",1万元以下,3年以上,1万元以下,"[""资生堂"",""植村秀"",""Bobbi Brown"",""欧莱雅""]","[""摄影摄像（数码相机、单反相机、摄像机等）"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""学习设备""]",平均2-3年购买1部手机,"[""操作系统"",""外观/造型"",""质量/耐用"",""价格"",""功能"",""口碑"",""品牌"",""性能/配置"",""售后服务""]",未婚,,,无,,,,"[""服饰消费"",""日用品消费"",""餐饮消费""]","[""读书"",""兴趣养成或技能提升类的活动/课程"",""电影、连续剧"",""话剧、戏剧、脱口秀等"",""健身、各类运动"",""逛商场、购物"",""郊游/周边游"",""看展、逛市集""]",10次以上,"3,000元以下",性价比高,"[""拼多多"",""得物"",""京东"",""淘宝/天猫"",""考拉海购""]",是,android,312
男,江苏,70后（70-79年出生）,大学专科,否,"[""none""]",否,企业中层管理人员,机械/制造/机电,市场/营销,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""福特""]",20万元以下,,比较愿意尝试,理想ONE,"10,001-30,000元",1-2次,经济舱,"[""经济型/快捷型连锁""]",800元以下/晚,"[""none""]",,,,,,"[""泰格豪雅TAG HEUER""]",,,不打算购买,,"[""none""]","[""手机"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均1-2年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统"",""质量/耐用"",""价格"",""功能"",""口碑"",""售后服务""]",已婚,有一个孩子,"[""高中""]",无,,"10,001-30,000元","20,001-50,000元","[""育儿消费"",""汽车相关消费（私家车）"",""学习消费""]","[""读书"",""健身、各类运动""]",1-5次,"3,000元以下",性价比高,"[""淘宝/天猫"",""唯品会"",""京东""]",否,android,194
男,海南,00后（2000年以后出生）,大学本科,否,"[""在国内申请研究生""]",否,学生,,,没有汽车,,,,暂时无购车计划,非常愿意尝试,特斯拉,"10,000元及以下",很少,经济舱,"[""民宿/公寓"",""经济型/快捷型连锁""]",800元以下/晚,"[""鞋"",""服饰"",""机械腕表"",""包""]","[""自用""]",1块,,1件,"[""款式/颜色"",""定制/限量"",""质量"",""品牌"",""折扣/优惠""]","[""宝格丽BVLGARI"",""百达翡丽PATEK PHILIPPE"",""万宝龙MONTBLANC"",""劳力士ROLEX"",""宝玑BREGUET"",""欧米茄OMEGA""]","[""劳力士ROLEX"",""宝玑BREGUET"",""卡地亚CARTIER""]",1万元以下,3年以上,1万元以下,"[""纪梵希Givenchy"",""欧莱雅"",""资生堂"",""兰蔻Lancome""]","[""手机"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""学习设备""]",平均1-2年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统"",""质量/耐用"",""价格"",""功能"",""口碑"",""售后服务""]",未婚,,,无,,,,"[""服饰消费"",""智能产品消费、电子产品消费"",""学习消费""]","[""电影、连续剧"",""读书""]",6-10次,"3,000元以下",外观颜值,"[""淘宝/天猫"",""other"",""网易严选""]",否,android,220
女,陕西,95后（95-99年出生）,大学本科,否,"[""在亚太地区申请研究生""]",否,学生,,,没有汽车,,,,暂时无购车计划,非常愿意尝试,特斯拉,"10,000元及以下",很少,经济舱,"[""三星级/舒适型"",""经济型/快捷型连锁""]",800元以下/晚,"[""none""]",,,,,,"[""卡地亚CARTIER"",""宝格丽BVLGARI"",""香奈儿CHANEL"",""万国IWC""]",,,3年以上,不确定,"[""博柏利Burberry""]","[""电脑整机（笔记本、一体机、平板电脑等）"",""手机""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统"",""价格"",""功能"",""口碑"",""售后服务""]",未婚,,,无,,,,"[""兴趣消费"",""旅游消费"",""服饰消费""]","[""读书"",""看展、逛市集"",""话剧、戏剧、脱口秀等"",""玩游戏""]",6-10次,"3,000元以下",理念价值观,"[""淘宝/天猫"",""拼多多"",""小红书"",""得物""]",否,android,294
女,福建,95后（95-99年出生）,大学本科,否,"[""none""]",是,企业职员,教育/科研/培训机构,培训,没有汽车,,,,暂时无购车计划,不愿意尝试,,"10,000元及以下",很少,经济舱,"[""民宿/公寓""]",800元以下/晚,"[""none""]",,,,,,"[""香奈儿CHANEL"",""江诗丹顿VACHERON CONSTANTIN""]",,,不打算购买,,"[""资生堂""]","[""学习设备"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均2-3年购买1部手机,"[""质量/耐用"",""价格"",""口碑""]",已婚,无子女,,无,,"10,000元以下",none,"[""日用品消费"",""学习消费"",""餐饮消费""]","[""读书"",""兴趣养成或技能提升类的活动/课程""]",1-5次,"3,000元以下",实用性强,"[""淘宝/天猫""]",否,android,490
男,天津,85后（85-89年出生）,硕士/MBA,否,"[""none""]",是,企业中层管理人员,能源/原材料行业,技术/研发,有1辆汽车,"[""SUV（比如途观、奔驰GLK等）""]","[""其他国产品牌""]",20万元以下,,非常愿意尝试,蔚来,"10,001-30,000元",1-2次,经济舱,"[""经济型/快捷型连锁""]",800元以下/晚,"[""鞋""]","[""自用""]",,,3-4件,"[""款式/颜色"",""品牌""]","[""劳力士ROLEX"",""天梭TISSOT"",""江诗丹顿VACHERON CONSTANTIN""]","[""劳力士ROLEX""]",,2-3年,1万元以下,"[""雅诗兰黛Estee Lauder"",""SK-II""]","[""智能设备（智能可穿戴设备、智能机器人、智能家居等）""]",平均1-2年购买1部手机,"[""性能/配置"",""品牌"",""价格"",""质量/耐用""]",已婚,有一个孩子,"[""幼儿园（3-6周岁）""]",无,,"30,001-50,000元","20,001-50,000元","[""育儿消费"",""餐饮消费"",""汽车相关消费（私家车）""]","[""朋友聚会、咖啡吧、酒吧、live house等"",""逛商场、购物""]",10次以上,"3,000～5,000元",性价比高,"[""苏宁易购"",""淘宝/天猫"",""京东""]",否,android,318
男,河南,00后（2000年以后出生）,大学本科,否,"[""在国内申请研究生""]",否,学生,,,没有汽车,,,,暂时无购车计划,非常愿意尝试,蔚来,"10,001-30,000元",很少,经济舱,"[""民宿/公寓"",""经济型/快捷型连锁""]",800元以下/晚,"[""none""]",,,,,,,,,不打算购买,,"[""none""]","[""电脑整机（笔记本、一体机、平板电脑等）"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""质量/耐用"",""价格"",""口碑"",""售后服务""]",未婚,,,无,,,,"[""智能产品消费、电子产品消费"",""兴趣消费"",""娱乐消费""]","[""读书"",""玩游戏""]",10次以上,"3,000元以下",质量品质,"[""抖音快手"",""京东"",""拼多多""]",是,android,341
男,山东,00后（2000年以后出生）,大学本科,否,"[""在国内申请研究生""]",是,学生,,,没有汽车,,,,暂时无购车计划,非常愿意尝试,北汽新能源,"10,000元及以下",1-2次,经济舱,"[""五星级/豪华型"",""民宿/公寓""]",800元以下/晚,"[""鞋""]","[""自用""]",,,1件,"[""品牌""]","[""江诗丹顿VACHERON CONSTANTIN"",""梵克雅宝VANCLEEF&ARPELS""]","[""泰格豪雅TAG HEUER"",""梵克雅宝VANCLEEF&ARPELS""]",,1年以内,1万元以下,"[""兰蔻Lancome"",""赫莲娜HR""]","[""手机"",""游戏机""]",平均1年以内购买1部手机,"[""性能/配置""]",未婚,,,猫,"1,000元以下",,,"[""智能产品消费、电子产品消费"",""餐饮消费"",""娱乐消费""]","[""健身、各类运动"",""玩游戏"",""朋友聚会、咖啡吧、酒吧、live house等""]",1-5次,"3,000元以下",理念价值观,"[""京东"",""小红书"",""拼多多"",""淘宝/天猫""]",否,android,133
女,河南,85后（85-89年出生）,大学本科,否,"[""在国内申请研究生""]",是,政府机关/公务员/事业单位,,,有2辆及以上汽车,"[""普通轿车（两厢、三厢）""]","[""宝马"",""大众""]",20-50万元,,非常愿意尝试,特斯拉,"10,001-30,000元",1-2次,经济舱,"[""四星级/高档型""]",800元以下/晚,"[""包"",""鞋"",""机械腕表""]","[""自用"",""送人""]",1块,,5件以上,"[""款式/颜色"",""实用"",""折扣/优惠"",""品牌"",""价格""]","[""积家JAEGER-LECOULTRE"",""宝格丽BVLGARI"",""香奈儿CHANEL"",""卡地亚CARTIER"",""梵克雅宝VANCLEEF&ARPELS""]","[""浪琴LONGINES""]",1万元以下,1-2年,1万-3万元,"[""迪奥Dior"",""雅诗兰黛Estee Lauder"",""赫莲娜HR"",""香奈儿CHANEL"",""SK-II"",""乔治阿玛尼Giorgio Armani"",""黛珂DECORTE"",""Pola"",""兰蔻Lancome"",""植村秀"",""娇兰"",""娇韵诗""]","[""手机""]",平均1-2年购买1部手机,"[""品牌"",""价格"",""操作系统"",""外观/造型"",""性能/配置""]",已婚,有一个孩子,"[""婴儿（1岁以下）""]",无,,,"50,001-10,0000元","[""育儿消费"",""智能产品消费、电子产品消费"",""日用品消费""]","[""逛商场、购物"",""玩游戏"",""郊游/周边游""]",10次以上,"5,000～10,000元",质量品质,"[""淘宝/天猫"",""京东""]",是,android,286
男,辽宁,95后（95-99年出生）,大学本科,否,"[""在国内申请研究生""]",是,创始人/私营业主,食品/餐饮,,没有汽车,,,,会增购或新购（增购即保留现有车辆再购买一辆）,非常愿意尝试,比亚迪,"10,001-30,000元",3-5次,经济舱,"[""经济型/快捷型连锁"",""三星级/舒适型""]",800元以下/晚,"[""none""]",,,,,,"[""百达翡丽PATEK PHILIPPE"",""江诗丹顿VACHERON CONSTANTIN"",""积家JAEGER-LECOULTRE""]",,,1年以内,20万元以上,"[""Bobbi Brown"",""雅诗兰黛Estee Lauder"",""汤姆福特TOM FORD""]","[""手机"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均1-2年购买1部手机,"[""性能/配置"",""外观/造型"",""操作系统"",""质量/耐用"",""价格"",""功能"",""口碑"",""售后服务""]",未婚,,,猫、狗都有,"1,000元以下",none,,"[""日用品消费"",""服饰消费"",""餐饮消费""]","[""读书"",""兴趣养成或技能提升类的活动/课程"",""玩游戏""]",1-5次,"3,000元以下",质量品质,"[""京东""]",是,android,291
男,湖南,00后（2000年以后出生）,大学本科,否,"[""在国内申请研究生""]",是,学生,,,没有汽车,,,,暂时无购车计划,比较愿意尝试,比亚迪,"10,001-30,000元",很少,经济舱,"[""三星级/舒适型"",""经济型/快捷型连锁""]",800元以下/晚,"[""none""]",,,,,,,,,不打算购买,,"[""none""]","[""手机"",""摄影摄像（数码相机、单反相机、摄像机等）"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均1-2年购买1部手机,"[""性能/配置""]",未婚,,,无,,,,"[""旅游消费"",""餐饮消费"",""智能产品消费、电子产品消费""]","[""电影、连续剧"",""读书"",""健身、各类运动""]",1-5次,"3,000元以下",实用性强,"[""淘宝/天猫"",""京东""]",是,android,252
男,广西,60后及以前（69年及之前出生）,高中及以下,否,"[""none""]",否,退休,,,有2辆及以上汽车,"[""普通轿车（两厢、三厢）"",""SUV（比如途观、奔驰GLK等）""]","[""大众"",""奥迪"",""别克""]",20-50万元,,不愿意尝试,,"30,001-50,000元",3-5次,经济舱,"[""三星级/舒适型"",""四星级/高档型""]","801-1,500元/晚","[""机械腕表""]","[""自用""]",1块,,,"[""实用""]","[""浪琴LONGINES""]","[""天梭TISSOT""]",1万元以下,不确定,,"[""资生堂"",""雅诗兰黛Estee Lauder"",""兰蔻Lancome"",""欧莱雅"",""香奈儿CHANEL""]","[""手机""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置""]",已婚,有一个孩子,"[""已参加工作""]",无,,"80,001-100,000元","300,000元以上","[""餐饮消费"",""日用品消费"",""旅游消费""]","[""朋友聚会、咖啡吧、酒吧、live house等"",""郊游/周边游"",""看展、逛市集""]",1-5次,"3,000元以下",质量品质,"[""京东"",""淘宝/天猫""]",否,android,495
男,江西,00后（2000年以后出生）,大学本科,否,"[""在国内申请研究生""]",否,学生,,,没有汽车,,,,暂时无购车计划,比较愿意尝试,北汽新能源,"10,000元及以下",很少,经济舱,"[""经济型/快捷型连锁""]",800元以下/晚,"[""none""]",,,,,,"[""other"",""没兴趣""]",,,不打算购买,,"[""none""]","[""手机"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均2-3年购买1部手机,"[""性能/配置""]",未婚,,,无,,,,"[""学习消费"",""兴趣消费"",""餐饮消费""]","[""玩游戏"",""逛商场、购物""]",1-5次,"3,000元以下",性价比高,"[""淘宝/天猫"",""京东""]",是,android,307
男,广东,90后（90-94年出生）,大学本科,否,"[""none""]",是,企业职员,房地产/建筑业,销售,没有汽车,,,,暂时无购车计划,不愿意尝试,,"30,001-50,000元",3-5次,经济舱,"[""四星级/高档型"",""三星级/舒适型""]",800元以下/晚,"[""机械腕表""]","[""自用""]",1块,,,"[""实用""]","[""天梭TISSOT""]","[""天梭TISSOT""]",拒绝回答,不确定,,"[""none""]","[""电脑整机（笔记本、一体机、平板电脑等）"",""学习设备""]",平均3年以上购买1部手机,"[""性能/配置"",""质量/耐用""]",不方便透露,,,无,,none,,"[""学习消费"",""智能产品消费、电子产品消费"",""旅游消费""]","[""玩游戏"",""逛商场、购物"",""郊游/周边游""]",10次以上,"3,000～5,000元",性价比高,"[""京东""]",否,android,337
男,云南,95后（95-99年出生）,大学本科,否,"[""在国内申请研究生""]",是,学生,,,没有汽车,,,,暂时无购车计划,非常愿意尝试,蔚来,"10,000元及以下",很少,经济舱,"[""民宿/公寓"",""青年旅社""]",800元以下/晚,"[""none""]",,,,,,"[""浪琴LONGINES""]",,,不确定,,"[""资生堂"",""欧莱雅"",""雅诗兰黛Estee Lauder""]","[""学习设备""]",平均3年以上购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统"",""质量/耐用"",""价格"",""功能"",""口碑"",""售后服务""]",未婚,,,无,,,,"[""服饰消费"",""餐饮消费"",""学习消费""]","[""电影、连续剧"",""读书"",""朋友聚会、咖啡吧、酒吧、live house等"",""健身、各类运动""]",1-5次,"3,000元以下",质量品质,"[""淘宝/天猫"",""得物"",""京东""]",否,iOS,388
男,云南,70后（70-79年出生）,大学本科,否,"[""none""]",是,政府机关/公务员/事业单位,,,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""其他欧洲品牌""]",20万元以下,,不愿意尝试,,"30,001-50,000元",1-2次,商务舱,"[""五星级/豪华型""]","1,501-3,000元/晚","[""机械腕表"",""服饰"",""鞋"",""包"",""珠宝""]","[""自用""]",3-4块,3-4件,5件以上,"[""质量"",""品牌"",""折扣/优惠"",""实用"",""款式/颜色""]","[""浪琴LONGINES"",""劳力士ROLEX"",""卡地亚CARTIER"",""江诗丹顿VACHERON CONSTANTIN"",""百达翡丽PATEK PHILIPPE"",""天梭TISSOT"",""宝格丽BVLGARI""]","[""浪琴LONGINES"",""欧米茄OMEGA"",""卡地亚CARTIER"",""劳力士ROLEX""]",5万-10万元,不确定,,"[""欧莱雅"",""圣罗兰YSL"",""资生堂"",""雅诗兰黛Estee Lauder"",""莱珀妮La Prairie"",""SK-II"",""兰蔻Lancome"",""纪梵希Givenchy"",""香奈儿CHANEL""]","[""手机"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""电脑整机（笔记本、一体机、平板电脑等）"",""游戏机"",""学习设备"",""摄影摄像（数码相机、单反相机、摄像机等）""]",平均1-2年购买1部手机,"[""性能/配置"",""外观/造型"",""质量/耐用""]",已婚,有一个孩子,"[""已参加工作"",""大学/研究生""]",狗,"1,000-3,000元",,none,"[""旅游消费"",""服饰消费"",""兴趣消费""]","[""读书"",""郊游/周边游"",""朋友聚会、咖啡吧、酒吧、live house等"",""玩游戏"",""兴趣养成或技能提升类的活动/课程"",""健身、各类运动""]",6-10次,"3,000元以下",质量品质,"[""亚马逊"",""京东"",""苏宁易购"",""淘宝/天猫""]",否,android,501
